date,title,first_prize,front_three,back_three,back_two
2022-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2565,061905,"236,834","234,691",07
2022-02-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 กุมภาพันธ์ 2565,098597,"085,644","592,816",57
2022-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2565,944308,"942,061","509,485",30
2022-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2565,880159,"731,786","119,529",92
2021-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2564,819068,"591,979","419,547",36
2021-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2564,639235,"097,629","476,522",83
2021-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2564,077258,"739,740","401,485",82
2021-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2564,032761,"648,471","844,245",57
2021-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2564,045037,"247,458","331,755",95
2021-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2564,386372,"602,964","295,798",38
2021-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2564,578171,"285,361","379,449",83
2021-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2564,070935,"609,817","379,007",90
2021-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2564,114475,"278,302","123,458",79
2021-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2564,046750,"421,666","160,355",23
2021-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2564,910261,"103,307","004,785",69
2021-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2564,556725,"058,174","233,927",70
2021-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2564,713517,"794,073","511,414",29
2021-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2564,691861,"054,007","447,668",17
2021-06-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มิถุนายน 2564,292972,"620,193","978,723",45
2021-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2564,684579,"615,843","276,970",14
2021-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2564,501272,"306,018","498,129",18
2021-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2564,100787,"013,143","264,478",56
2021-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2564,472270,"755,283","393,577",05
2021-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2564,890422,"036,902","396,256",19
2021-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2564,835538,"290,838","051,806",73
2021-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2564,424603,"861,318","057,817",39
